id,dc_number,,,,,,
1,DC-U1D22-2310016,,,,,,
2,DC-U1D22-2309004,,,,,,
3,DC-U1D22-2310170,,,,,,
4,DC-U1D22-2305238,,,,,,
5,DC-U1D22-2309000,,,,,,
6,DC-U1D22-2309532,,,,,,
7,DC-U1D22-2310029,,,,,,
8,DC-U1D22-2310070,,,,,,
9,DC-U1D22-2310188,,,,,,
10,DC-U1D22-2308572,,,,,,
11,DC-U1D22-2309646,,,,,,
12,DC-U1D22-2309815,,,,,,
13,DC-U1D22-2309921,,,,,,
14,DC-U1D22-2309987,,,,,,
15,DC-U1D22-2310035,,,,,,
16,DC-U1D22-2310068,,,,,,
17,DC-U1D22-2310119,,,,,,
18,DC-U1D22-2309913,,,,,,
19,DC-U1D22-2310009,,,,,,
20,DC-U1D22-2310027,,,,,,
21,DC-U1D22-2310052,,,,,,
22,DC-U1D22-2310100,,,,,,
23,DC-U1D22-2310154,,,,,,
24,DC-U1D22-2310251,,,,,,
25,DC-U1D22-2309706,,,,,,
26,DC-U1D22-2309799,,,,,,
27,DC-U1D22-2309837,,,,,,
28,DC-U1D22-2309874,,,,,,
29,DC-U1D22-2309923,,,,,,
30,DC-U1D22-2310173,,,,,,
31,DC-U1D22-2310254,,,,,,
32,DC-U1D22-2309809,,,,,,
33,DC-U1D22-2309875,,,,,,
34,DC-U1D22-2309974,,,,,,
35,DC-U1D22-2310017,,,,,,
36,DC-U1D22-2310018,,,,,,
37,DC-U1D22-2310053,,,,,,
38,DC-U1D22-2310129,,,,,,
39,DC-U1D22-2310169,,,,,,
40,DC-U1D22-2310216,,,,,,
41,DC-U1D22-2310253,,,,,,
42,DC-U1D22-2310281,,,,,,
43,DC-U1D22-2309538,,,,,,
44,DC-U1D22-2309590,,,,,,
45,DC-U1D22-2309692,,,,,,
46,DC-U1D22-2309889,,,,,,
47,DC-U1D22-2309916,,,,,,
48,DC-U1D22-2309956,,,,,,
49,DC-U1D22-2309990,,,,,,
50,DC-U1D22-2310037,,,,,,
51,DC-U1D22-2310066,,,,,,
52,DC-U1D22-2310114,,,,,,
53,N2023000250,,,,,,
54,DC-U1D22-2310272,,,,,,
55,DC-U1D22-2309189,,,,,,
56,DC-U1D22-2309716,,,,,,
57,DC-U1D22-2309603,,,,,,
58,DC-U1D22-2309801,,,,,,
59,DC-U1D22-2310028,,,,,,
60,DC-U1D22-2310051,,,,,,
61,DC-U1D22-2310099,,,,,,
62,DC-U1D22-2309663,,,,,,
63,DC-U1D22-2309942,,,,,,
64,DC-U1D22-2309972,,,,,,
65,DC-U1D22-2310026,,,,,,
66,DC-U1D22-2310059,,,,,,
67,DC-U1D22-2310285,,,,,,
68,DC-U1D22-2309512,,,,,,
69,DC-U1D22-2309925,,,,,,
70,DC-U1D22-2309991,,,,,,
71,DC-U1D22-2310031,,,,,,
72,DC-U1D22-2310079,,,,,,
73,DC-U1D22-2310125,,,,,,
74,DC-U1D22-2310150,,,,,,
75,DC-U1D22-2310190,,,,,,
76,DC-U1D22-2310263,,,,,,
77,DC-U1D22-2301034,,,,,,
78,DC-U1D22-2309819,,,,,,
79,DC-U1D22-2309863,,,,,,
80,DC-U1D22-2309931,,,,,,
81,DC-U1D22-2309906,,,,,,
82,DC-U1D22-2309927,,,,,,
83,DC-U1D22-2309358,,,,,,
84,DC-U1D22-2309719,,,,,,
85,DC-U1D22-2309743,,,,,,
86,DC-U1D22-2308153,,,,,,
87,DC-U1D22-2308202,,,,,,
88,DC-U1D22-2308288,,,,,,
89,DC-U1D22-2309704,,,,,,
90,DC-U1D22-2309252,,,,,,
91,DC-U1D22-2310270,,,,,,
92,DC-U1D22-2307677,,,,,,
93,DC-U1D22-2308295,,,,,,
94,DC-U1D22-2308532,,,,,,
95,DC-U1D22-2308550,,,,,,
96,DC-U1D22-2308573,,,,,,
97,DC-U1D22-2308789,,,,,,
98,DC-U1D22-2306019,,,,,,
99,DC-U1D22-2306061,,,,,,
100,DC-U1D22-2309683,,,,,,
101,DC-U1D22-2309750,,,,,,
102,DC-U1D22-2309781,,,,,,
103,DC-U1D22-2309812,,,,,,
104,DC-U1D22-2309926,,,,,,
105,DC-U1D22-2309959,,,,,,
106,DC-U1D22-2310080,,,,,,
107,DC-U1D22-2310124,,,,,,
108,DC-U1D22-2310264,,,,,,
109,DC-U1D22-2309784,,,,,,
110,DC-U1D22-2309810,,,,,,
111,DC-U1D22-2310233,,,,,,
112,DC-U1D22-2310269,,,,,,
113,DC-U1D22-2309717,,,,,,
114,DC-U1D22-2309917,,,,,,
115,DC-U1D22-2310038,,,,,,
116,DC-U1D22-2310072,,,,,,
117,DC-U1D22-2310121,,,,,,
118,DC-U1D22-2310145,,,,,,
119,DC-U1D22-2310178,,,,,,
120,DC-U1D22-2310113,,,,,,
121,DC-U1D22-2310148,,,,,,
122,DC-U1D22-2310179,,,,,,
123,DC-U1D22-2310227,,,,,,
124,DC-U1D22-2310268,,,,,,
125,DC-U1D22-2309452,,,,,,
126,DC-U1D22-2309496,,,,,,
127,DC-U1D22-2309675,,,,,,
128,DC-U1D22-2309705,,,,,,
129,DC-U1D22-2309745,,,,,,
130,DC-U1D22-2309846,,,,,,
131,DC-U1D22-2309911,,,,,,
132,DC-U1D22-2310111,,,,,,
133,DC-U1D22-2310284,,,,,,
134,DC-U1D22-2309613,,,,,,3593621.92
135,DC-U1D22-2309756,,,,,,
136,DC-U1D22-2309904,,,,,,
137,DC-U1D22-2309930,,,,,,
138,DC-U1D22-2309979,,,,,,
139,DC-U1D22-2310010,,,,,,
140,DC-U1D22-2310054,,,,,,
141,DC-U1D22-2310127,,,,,,
142,DC-U1D22-2310217,,,,,,
143,DC-U1D22-2309729,,,,,,
144,DC-U1D22-2308415,,,,,,
145,DC-U1D22-2309943,,,,,,
146,DC-U1D22-2310280,,,,,,
147,DC-U1D22-2309677,,,,,,
148,DC-U1D22-2310110,,,,,,
149,DC-U1D22-2310138,,,,,,
150,DC-U1D22-2310231,,,,,,
151,DC-U1D22-2309671,,,,,,
152,DC-U1D22-2309741,,,,,,
153,DC-U1D22-2310271,,,,,,
